State,Geographic Name,Year,Median age years,Percent Male,Percent White,Percent BA or higher,Percent unemployed,Per capita income dollars
AL,Alabama,2005,37.4,48.24,70.99,21.4,7.2,21168
AK,Alaska,2005,33.9,50.75,69.17,27.3,8.6,26310
AZ,Arizona,2005,34.5,49.79,76.17,25.6,6.3,23365
AR,Arkansas,2005,37.0,48.67,79.03,18.9,6.9,19325
CA,California,2005,34.4,49.6,60.92,29.5,7.2,26800
CO,Colorado,2005,34.7,50.05,83.49,35.5,6.2,27081
CT,Connecticut,2005,39.3,48.48,81.19,34.9,6.3,33949
DE,Delaware,2005,37.9,48.48,73.57,27.6,5.6,27650
DC,District of Columbia,2005,35.9,47.09,32.38,45.3,9.1,37569
FL,Florida,2005,39.5,48.71,76.75,25.1,6.3,24611
GA,Georgia,2005,34.3,49.0,62.54,27.1,7.4,23982
HI,Hawaii,2005,38.5,49.39,24.95,27.9,4.4,25326
ID,Idaho,2005,34.6,49.81,91.81,23.3,5.8,20350
IL,Illinois,2005,35.6,48.96,72.23,29.2,7.9,26307
IN,Indiana,2005,36.1,49.1,86.12,21.3,6.9,22519
IA,Iowa,2005,38.6,49.23,93.48,23.8,5.1,23340
KS,Kansas,2005,36.1,49.42,85.24,28.2,5.5,23338
KY,Kentucky,2005,37.5,48.92,89.85,19.3,7.5,20551
LA,Louisiana,2005,35.4,48.24,63.68,20.6,9.0,20332
ME,Maine,2005,41.2,48.8,96.56,25.6,5.7,23606
MD,Maryland,2005,37.1,48.16,61.46,34.5,5.7,31109
MA,Massachusetts,2005,38.2,48.49,83.4,36.9,6.4,31007
MI,Michigan,2005,36.9,48.9,79.98,24.7,8.9,24379
MN,Minnesota,2005,36.7,49.64,87.98,30.7,5.5,27248
MS,Mississippi,2005,35.5,48.09,60.78,18.7,9.3,17971
MO,Missouri,2005,37.4,48.77,84.52,24.0,6.7,23026
MT,Montana,2005,40.2,49.68,90.56,26.5,5.3,21765
NE,Nebraska,2005,36.2,49.5,89.6,27.3,4.9,22885
