State,Geographic Name,Year,Median age years,Percent Male,Percent White,Percent BA or higher,Percent unemployed,Per capita income dollars
AL,Alabama,2010,37.8,48.5,69.47,21.9,7.0,21993.0
AK,Alaska,2010,33.8,52.2,67.43,27.9,6.6,30598.0
AZ,Arizona,2010,35.9,49.7,79.44,25.9,7.2,23618.0
AR,Arkansas,2010,37.3,49.0,78.37,19.5,5.8,20725.0
CA,California,2010,35.2,49.7,62.45,30.1,8.2,27353.0
CO,Colorado,2010,36.0,50.1,83.35,36.4,6.8,28723.0
CT,Connecticut,2010,40.0,48.6,78.22,35.5,7.1,35078.0
DE,Delaware,2010,38.8,48.5,70.69,27.8,5.9,27729.0
DC,District of Columbia,2010,33.9,47.3,40.19,50.1,8.2,41240.0
FL,Florida,2010,40.7,48.9,76.48,25.8,8.0,24272.0
GA,Georgia,2010,35.4,48.8,60.7,27.3,8.0,23383.0
HI,Hawaii,2010,38.7,50.2,24.61,29.5,5.1,27537.0
ID,Idaho,2010,34.7,50.1,92.22,24.4,6.4,20991.0
IL,Illinois,2010,36.6,49.0,72.46,30.8,7.6,27325.0
IN,Indiana,2010,36.9,49.3,85.09,22.7,6.9,22806.0
IA,Iowa,2010,38.2,49.4,91.53,24.9,4.6,24883.0
KS,Kansas,2010,36.2,49.6,85.23,29.8,5.3,24911.0
KY,Kentucky,2010,38.0,49.2,88.29,20.5,6.6,21706.0
LA,Louisiana,2010,35.9,49.0,62.85,21.4,6.2,22862.0
ME,Maine,2010,42.7,48.9,95.34,26.8,5.3,24950.0
MD,Maryland,2010,38.0,48.4,58.9,36.1,6.1,33772.0
MA,Massachusetts,2010,39.1,48.3,81.13,39.0,6.9,33203.0
MI,Michigan,2010,39.0,49.1,79.32,25.2,9.4,23622.0
MN,Minnesota,2010,37.5,49.6,86.11,31.8,5.9,28563.0
MS,Mississippi,2010,36.1,48.5,59.51,19.5,7.2,19096.0
MO,Missouri,2010,38.0,48.9,83.11,25.6,6.4,23920.0
MT,Montana,2010,40.1,50.4,89.85,28.8,4.8,23552.0
NE,Nebraska,2010,36.3,49.5,88.89,28.6,4.6,24744.0
NV,Nevada,2010,36.3,50.5,72.86,21.7,9.3,25284.0
NH,New Hampshire,2010,41.3,49.2,94.05,32.8,5.4,30949.0
NJ,New Jersey,2010,39.0,48.7,69.34,35.4,7.2,33555.0
NM,New Mexico,2010,36.7,49.4,73.36,25.0,5.7,22150.0
NY,New York,2010,38.0,48.4,65.88,32.5,6.2,30011.0
NC,North Carolina,2010,37.3,48.7,69.72,26.5,8.0,23432.0
ND,North Dakota,2010,37.4,50.9,90.0,27.6,2.7,26021.0
OH,Ohio,2010,38.9,48.8,82.96,24.6,7.3,23975.0
OK,Oklahoma,2010,36.3,49.3,73.49,22.9,5.1,22254.0
OR,Oregon,2010,38.5,49.5,84.99,28.8,8.1,24753.0
PA,Pennsylvania,2010,40.2,48.7,82.56,27.1,6.0,26374.0
RI,Rhode Island,2010,39.6,48.3,81.44,30.2,7.0,27667.0
SC,South Carolina,2010,37.8,48.6,67.1,24.5,7.8,22128.0
SD,South Dakota,2010,37.3,50.4,85.97,26.3,4.1,23647.0
TN,Tennessee,2010,38.0,48.7,78.38,23.1,6.9,22463.0
TX,Texas,2010,33.6,49.6,74.1,25.9,5.7,23863.0
UT,Utah,2010,29.2,50.3,88.83,29.3,6.4,22059.0
VT,Vermont,2010,41.5,49.2,95.43,33.6,5.5,26876.0
VA,Virginia,2010,37.5,49.1,69.46,34.2,5.1,31313.0
WA,Washington,2010,37.2,49.8,78.7,31.1,6.9,28364.0
WV,West Virginia,2010,41.2,49.3,93.88,17.5,4.8,20953.0
WI,Wisconsin,2010,38.5,49.7,87.01,26.3,6.1,25458.0
WY,Wyoming,2010,36.7,50.9,90.99,24.1,4.2,27616.0
AL,Alabama,2011,38.1,48.4,69.09,22.3,6.8,22711.0
AK,Alaska,2011,33.9,51.6,66.79,26.4,6.0,31405.0
AZ,Arizona,2011,36.2,49.8,79.31,26.6,6.7,23793.0
AR,Arkansas,2011,37.5,49.3,78.16,20.3,5.5,21203.0
CA,California,2011,35.4,49.7,62.87,30.3,7.8,27859.0
CO,Colorado,2011,36.2,50.2,84.39,36.7,6.3,29804.0
CT,Connecticut,2011,40.3,48.7,77.84,36.2,7.2,35932.0
DE,Delaware,2011,39.1,48.5,70.19,28.8,5.7,29123.0
DC,District of Columbia,2011,33.4,47.3,39.89,52.5,7.6,44578.0
FL,Florida,2011,41.1,48.9,76.27,25.8,7.4,24905.0
GA,Georgia,2011,35.5,49.0,60.74,27.6,7.6,23604.0
HI,Hawaii,2011,38.5,50.1,24.97,29.1,4.7,27353.0
ID,Idaho,2011,35.0,50.2,92.46,25.2,6.3,21152.0
IL,Illinois,2011,36.8,49.0,72.49,31.0,7.2,27880.0
IN,Indiana,2011,37.1,49.2,84.58,23.0,6.4,23524.0
IA,Iowa,2011,38.1,49.4,91.46,25.8,4.1,25667.0
KS,Kansas,2011,36.3,49.6,85.07,30.1,5.0,25438.0
KY,Kentucky,2011,38.2,49.1,87.83,21.1,6.2,22300.0
LA,Louisiana,2011,35.9,48.9,62.84,21.1,5.6,22882.0
ME,Maine,2011,43.2,49.0,95.2,28.4,5.5,25802.0
MD,Maryland,2011,38.0,48.4,58.58,36.9,6.1,34500.0
MA,Massachusetts,2011,39.3,48.4,80.55,39.1,6.2,34041.0
MI,Michigan,2011,39.2,49.1,79.29,25.6,8.0,24409.0
MN,Minnesota,2011,37.6,49.7,85.65,32.4,5.4,29404.0
MS,Mississippi,2011,36.1,48.6,59.44,19.8,6.5,19583.0
MO,Missouri,2011,38.0,49.0,83.04,26.1,6.0,24634.0
MT,Montana,2011,39.7,50.1,89.29,28.2,5.2,23893.0
NE,Nebraska,2011,36.3,49.5,88.18,27.9,4.4,26243.0
NV,Nevada,2011,36.7,50.4,71.55,22.5,8.2,24968.0
NH,New Hampshire,2011,41.5,49.4,94.13,33.4,4.7,31871.0
NJ,New Jersey,2011,39.2,48.7,69.2,35.3,7.3,34090.0
NM,New Mexico,2011,36.6,49.8,71.69,25.6,6.8,22829.0
NY,New York,2011,38.1,48.5,65.3,32.9,6.0,30679.0
NC,North Carolina,2011,37.7,48.5,70.09,26.9,7.3,24107.0
ND,North Dakota,2011,36.6,50.3,89.82,26.3,2.2,28055.0
OH,Ohio,2011,39.1,48.9,82.87,24.7,6.6,24750.0
OK,Oklahoma,2011,36.3,49.5,73.64,23.8,4.6,23016.0
OR,Oregon,2011,38.7,49.4,84.7,29.3,7.5,25228.0
PA,Pennsylvania,2011,40.3,48.8,82.29,27.0,5.9,26933.0
RI,Rhode Island,2011,39.5,48.4,81.71,31.1,6.8,29277.0
SC,South Carolina,2011,38.0,48.6,67.0,24.1,7.2,22598.0
SD,South Dakota,2011,37.1,49.8,85.91,26.3,3.7,24701.0
TN,Tennessee,2011,38.3,48.7,77.93,23.6,6.5,23320.0
TX,Texas,2011,33.7,49.6,74.58,26.4,5.5,24682.0
UT,Utah,2011,29.6,50.3,88.27,29.7,5.4,22497.0
VT,Vermont,2011,42.0,49.2,95.18,35.4,4.3,28089.0
VA,Virginia,2011,37.6,49.1,69.36,35.1,4.9,32123.0
WA,Washington,2011,37.3,49.9,78.44,31.9,6.6,29278.0
WV,West Virginia,2011,41.4,49.3,93.89,18.5,4.8,22060.0
WI,Wisconsin,2011,38.7,49.6,87.2,26.5,5.5,26212.0
WY,Wyoming,2011,36.8,50.9,90.7,24.7,3.5,27973.0
PR,Puerto Rico,2011,,,68.52,,,
AL,Alabama,2012,38.2,48.5,69.13,23.3,5.8,22815.0
AK,Alaska,2012,33.8,52.1,66.52,28.0,5.3,31890.0
AZ,Arizona,2012,36.6,49.8,78.8,27.3,5.9,24600.0
AR,Arkansas,2012,37.6,49.1,78.26,21.0,5.0,21643.0
CA,California,2012,35.5,49.7,62.11,30.9,7.2,28341.0
CO,Colorado,2012,36.2,50.1,84.37,37.5,5.3,30329.0
CT,Connecticut,2012,40.4,48.7,78.13,37.1,6.6,36891.0
DE,Delaware,2012,39.2,48.5,69.71,29.5,5.6,28705.0
DC,District of Columbia,2012,33.7,47.3,39.64,53.0,7.1,45307.0
FL,Florida,2012,41.1,48.9,76.32,26.8,6.8,25428.0
GA,Georgia,2012,35.7,48.9,60.41,28.2,6.9,24321.0
