State,statename,Pollutant,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AL,Alabama,CO,6.4,6.1,7.4,7.1,6.9,6.4,4.9,5.9,4.4,4.4,3.7,6.3,3.7,3.1,3.9,2.5,3.1,2.0,2.2,2.9,2.2,2.1,1.7,1.7,2.4,1.9,1.4,1.0,1.2,1.2,1.1,1.0,0.8
AL,Alabama,O3,0.081375,0.06775,0.077125,0.07925,0.073125,0.08675,0.0820625,0.0769375,0.0918125,0.0846875,0.0849375,0.076875,0.078375,0.0725625,0.0705625,0.0746875,0.0781875,0.08025,0.071375,0.0624375,0.0705,0.0728125,0.0733125,0.0630625,0.06293750000000001,0.0645625,0.06531250000000001,0.0600625,0.0633125,0.0651875,0.0560625,0.0588125,0.0618125
AL,Alabama,PM10,60.333333333333336,68.73333333333333,51.111111111111114,59.22222222222222,48.333333333333336,50.06666666666667,41.82222222222222,50.44444444444444,42.044444444444444,48.82222222222222,91.15555555555555,58.599999999999994,41.71111111111111,48.44444444444444,46.37777777777777,46.17777777777778,39.77777777777778,50.0,39.22222222222222,32.15555555555555,52.111111111111114,47.28888888888889,36.06666666666667,30.666666666666668,31.400000000000002,59.266666666666666,35.888888888888886,26.822222222222223,29.377777777777776,28.155555555555555,28.37777777777778,27.77777777777778,29.17777777777778
AL,Alabama,PM2.5,,,,,,,,,,,30.35666666666667,25.279999999999998,24.146666666666665,23.596666666666668,24.853333333333335,27.283333333333335,24.389999999999997,27.4,20.813333333333333,16.776666666666667,18.413333333333334,18.459999999999997,15.229999999999999,14.293333333333333,15.393333333333334,14.166666666666666,11.886666666666667,13.683333333333334,12.856666666666666,12.426666666666668,13.343333333333334,15.08,13.466666666666667
AL,Alabama,SO2,75.0,81.0,89.0,113.0,85.0,65.0,54.0,60.0,82.0,92.0,149.0,63.0,50.0,53.0,56.0,70.0,70.0,50.0,69.0,41.0,33.0,31.0,36.0,22.0,17.0,17.0,11.0,12.0,11.0,10.0,5.0,7.0,6.0
AK,Alaska,CO,9.7,8.4,10.8,9.7,8.6,7.4,8.7,7.1,8.4,7.8,5.4,5.7,4.7,5.7,6.4,4.8,4.3,3.6,3.8,4.4,3.8,3.6,4.3,3.1,2.5,2.8,3.0,3.5,2.7,2.4,3.0,2.2,2.4
AK,Alaska,PM2.5,,,,,,,,,,,13.700000000000001,15.666666666666666,14.633333333333333,14.766666666666666,17.733333333333334,16.75,20.216666666666665,15.166666666666666,16.150000000000002,18.0,18.566666666666666,15.283333333333333,17.466666666666665,14.016666666666666,17.95,16.099999999999998,14.700000000000001,15.800000000000002,12.483333333333334,19.433333333333334,13.066666666666668,12.016666666666666,13.950000000000001
AZ,Arizona,CO,6.566666666666666,6.366666666666667,7.0,6.266666666666667,6.766666666666667,6.900000000000001,6.033333333333334,5.6000000000000005,5.133333333333334,5.133333333333333,5.033333333333334,3.966666666666667,3.766666666666667,3.4,2.9333333333333336,3.1,2.8000000000000003,2.6333333333333333,1.9000000000000001,1.8333333333333333,1.8999999999999997,1.9333333333333336,1.6666666666666667,1.7,1.7333333333333334,1.5999999999999999,1.5666666666666667,1.8,1.5999999999999999,1.3333333333333333,1.5333333333333332,1.5,1.3666666666666665
AZ,Arizona,NO2,33.75,30.5,26.5,29.5,33.0,35.0,34.0,33.25,32.0,34.75,33.75,30.0,32.5,30.75,28.75,27.5,27.25,26.0,25.0,22.5,23.5,23.75,24.0,22.5,22.25,20.25,18.5,19.75,20.25,18.5,17.75,19.0,18.0
AZ,Arizona,O3,0.0744,0.073,0.0742,0.0742,0.0752,0.0776,0.0782,0.07339999999999999,0.0748,0.076,0.076,0.072,0.0784,0.0764,0.0718,0.076,0.0748,0.0708,0.07239999999999999,0.0668,0.0716,0.075,0.0748,0.07239999999999999,0.0696,0.0688,0.0666,0.06999999999999999,0.06999999999999999,0.0668,0.07139999999999999,0.0712,0.0688
