Area,Year,Population,Violent_crime,Violent_crime_per_100K,Murder,Murder_per_100K,Rape,Rape_per_100K,Robbery,Robbery_per_100K,Aggravated_assault,Aggravated_assault_per_100K,Property_crime,Property_crime_per_100K,Burglary,Burglary_per_100K,Larceny_theft,Larceny_theft_per_100K,Motor_vehicle_theft,Motor_vehicle_theft_per_100K,Rape_legacy,Rape_legacy_per_100K,Rape_revised,Rape_revised_per_100K,State,Total_crime,Total_crime_per_100K
Alabama,2000,4447100.0,21620.0,486.16,329.0,7.4,1482.0,33.33,5702.0,128.22,14107.0,317.22,180539.0,4059.7,40331.0,906.91,127399.0,2864.77,12809.0,288.03,,,,,AL,202159.0,4545.861347844663
Alaska,2000,626932.0,3554.0,566.89,27.0,4.31,497.0,79.27,490.0,78.16,2540.0,405.15,23087.0,3682.54,3899.0,621.92,16838.0,2685.78,2350.0,374.84,,,,,AK,26641.0,4249.4241799748615
Arizona,2000,5130632.0,27281.0,531.73,359.0,7.0,1577.0,30.74,7504.0,146.26,17841.0,347.73,271811.0,5297.81,51902.0,1011.61,176705.0,3444.12,43204.0,842.08,,,,,AZ,299092.0,5829.535230747401
Arkansas,2000,2673400.0,11904.0,445.28,168.0,6.28,848.0,31.72,2001.0,74.85,8887.0,332.42,98115.0,3670.05,21443.0,802.09,69740.0,2608.66,6932.0,259.3,,,,,AR,110019.0,4115.321313682951
California,2000,33871648.0,210531.0,621.56,2079.0,6.14,9785.0,28.89,60249.0,177.87,138418.0,408.65,1056183.0,3118.19,222293.0,656.28,651855.0,1924.49,182035.0,537.43,,,,,CA,1266714.0,3739.747177344309
Colorado,2000,4301261.0,14367.0,334.02,134.0,3.12,1774.0,41.24,3034.0,70.54,9425.0,219.12,156937.0,3648.63,27133.0,630.82,112843.0,2623.49,16961.0,394.33,,,,,CO,171304.0,3982.646019388267
Connecticut,2000,3405565.0,11058.0,324.7,98.0,2.88,678.0,19.91,3832.0,112.52,6450.0,189.4,,,17436.0,511.99,68498.0,2011.35,13099.0,384.64,,,,,CT,,
Delaware,2000,783600.0,5363.0,684.41,25.0,3.19,424.0,54.11,1394.0,177.9,3520.0,449.21,29727.0,3793.64,5216.0,665.65,21360.0,2725.88,3151.0,402.12,,,,,DE,35090.0,4478.0500255232255
District Of Columbia,2000,572059.0,8626.0,1507.89,239.0,41.78,251.0,43.88,3554.0,621.26,4582.0,800.97,33000.0,5768.64,4745.0,829.46,21655.0,3785.45,6600.0,1153.73,,,,,DC,41626.0,7276.522176908326
Florida,2000,15982378.0,129777.0,812.0,903.0,5.65,7057.0,44.15,31809.0,199.03,90008.0,563.17,780377.0,4882.73,172898.0,1081.8,518298.0,3242.93,89181.0,558.0,,,,,FL,910154.0,5694.734538252067
Georgia,2000,8186453.0,41319.0,504.72,651.0,7.95,1968.0,24.04,13250.0,161.85,25450.0,310.88,347630.0,4246.41,68488.0,836.6,240440.0,2937.05,38702.0,472.76,,,,,GA,388949.0,4751.129701715749
Hawaii,2000,1211537.0,2954.0,243.82,35.0,2.89,346.0,28.56,1123.0,92.69,1450.0,119.68,60033.0,4955.11,10665.0,880.29,43254.0,3570.18,6114.0,504.65,,,,,HI,62987.0,5198.933255855991
Idaho,2000,1293953.0,3267.0,252.48,16.0,1.24,384.0,29.68,223.0,17.23,2644.0,204.34,37961.0,2933.72,7330.0,566.48,28545.0,2206.03,2086.0,161.21,,,,,ID,41228.0,3186.2053722198566
Illinois,2000,12419293.0,81567.0,656.78,891.0,7.17,4090.0,32.93,25758.0,207.4,50828.0,409.27,450748.0,3629.42,81913.0,659.56,312692.0,2517.79,56143.0,452.06,,,,,IL,532315.0,4286.194069179301
Indiana,2000,6080485.0,21230.0,349.15,352.0,5.79,1759.0,28.93,6282.0,103.31,12837.0,211.12,206905.0,3402.77,41108.0,676.06,144707.0,2379.86,21090.0,346.85,,,,,IN,228135.0,3751.9211049776454
Iowa,2000,2926324.0,7796.0,266.41,46.0,1.57,676.0,23.1,1071.0,36.6,6003.0,205.14,86834.0,2967.34,16342.0,558.45,65118.0,2225.25,5374.0,183.64,,,,,IA,94630.0,3233.7499196944705
Kansas,2000,2688418.0,10470.0,389.45,169.0,6.29,1022.0,38.01,2048.0,76.18,7231.0,268.97,108057.0,4019.35,21484.0,799.13,80077.0,2978.59,6496.0,241.63,,,,,KS,118527.0,4408.801012342575
Kentucky,2000,4041769.0,11903.0,294.5,193.0,4.78,1091.0,26.99,3256.0,80.56,7363.0,182.17,107723.0,2665.24,25308.0,626.16,73141.0,1809.63,9274.0,229.45,,,,,KY,119626.0,2959.743617213156
Louisiana,2000,4468976.0,30440.0,681.14,560.0,12.53,1497.0,33.5,7532.0,168.54,20851.0,466.57,211904.0,4741.67,46289.0,1035.79,144345.0,3229.93,21270.0,475.95,,,,,LA,242344.0,5422.80826748678
Maine,2000,1274923.0,1397.0,109.58,15.0,1.18,320.0,25.1,247.0,19.37,815.0,63.93,32003.0,2510.19,6775.0,531.4,23906.0,1875.09,1322.0,103.69,,,,,ME,33400.0,2619.76605645988
Maryland,2000,5296486.0,41663.0,786.62,430.0,8.12,1543.0,29.13,13560.0,256.02,26130.0,493.35,213422.0,4029.5,39426.0,744.38,145423.0,2745.65,28573.0,539.47,,,,,MD,255085.0,4816.117705210587
Massachusetts,2000,6349097.0,30230.0,476.13,125.0,1.97,1696.0,26.71,5815.0,91.59,22594.0,355.86,161901.0,2549.98,30600.0,481.96,105425.0,1660.47,25876.0,407.55,,,,,MA,192131.0,3026.115367271913
Michigan,2000,9938444.0,55159.0,555.01,669.0,6.73,5025.0,50.56,13712.0,137.97,35753.0,359.74,353297.0,3554.85,69790.0,702.22,227783.0,2291.94,55724.0,560.69,,,,,MI,408456.0,4109.858645880583
