,Year,State,Hate_crime
0,2000,AK,4
1,2000,AR,3
2,2000,AZ,281
3,2000,CA,1943
4,2000,CO,101
5,2000,CT,156
6,2000,DC,5
7,2000,DE,34
8,2000,FL,240
9,2000,GA,35
10,2000,IA,34
11,2000,ID,46
12,2000,IL,183
13,2000,IN,114
14,2000,KS,75
15,2000,KY,76
16,2000,LA,12
17,2000,MA,470
18,2000,MD,218
19,2000,ME,28
20,2000,MI,423
21,2000,MN,169
22,2000,MO,70
23,2000,MS,2
24,2000,MT,19
25,2000,NB,17
26,2000,NC,39
27,2000,ND,5
28,2000,NH,32
29,2000,NJ,652
30,2000,NM,15
31,2000,NV,85
32,2000,NY,608
33,2000,OH,255
34,2000,OK,80
35,2000,OR,142
36,2000,PA,141
37,2000,RI,48
38,2000,SC,36
39,2000,SD,8
40,2000,TN,236
41,2000,TX,287
42,2000,UT,75
43,2000,VA,324
44,2000,VT,19
45,2000,WA,242
46,2000,WI,47
47,2000,WV,74
48,2000,WY,9
49,2001,AK,20
50,2001,AR,3
51,2001,AZ,386
52,2001,CA,2246
53,2001,CO,126
54,2001,CT,171
55,2001,DC,12
56,2001,DE,17
57,2001,FL,302
58,2001,GA,39
59,2001,IA,32
60,2001,ID,34
61,2001,IL,282
62,2001,IN,139
63,2001,KS,82
64,2001,KY,83
65,2001,LA,10
66,2001,MA,591
67,2001,MD,240
68,2001,ME,32
69,2001,MI,442
70,2001,MN,208
71,2001,MO,91
72,2001,MS,3
73,2001,MT,13
74,2001,NB,54
75,2001,NC,84
76,2001,ND,16
77,2001,NH,27
78,2001,NJ,767
79,2001,NM,20
80,2001,NV,94
81,2001,NY,712
82,2001,OH,363
83,2001,OK,46
84,2001,OR,222
85,2001,PA,141
86,2001,RI,63
87,2001,SC,57
88,2001,SD,5
89,2001,TN,190
90,2001,TX,436
91,2001,UT,66
92,2001,VA,357
93,2001,VT,17
94,2001,WA,278
95,2001,WI,61
96,2001,WV,40
97,2001,WY,10
98,2002,AK,7
99,2002,AL,2
100,2002,AZ,241
101,2002,CA,1648
102,2002,CO,96
103,2002,CT,140
104,2002,DC,14
105,2002,DE,13
106,2002,FL,257
107,2002,GA,31
108,2002,IA,47
109,2002,ID,43
110,2002,IL,158
111,2002,IN,78
112,2002,KS,56
113,2002,KY,79
114,2002,LA,15
115,2002,MA,427
116,2002,MD,217
117,2002,ME,36
118,2002,MI,421
119,2002,MN,203
120,2002,MO,65
121,2002,MS,3
122,2002,MT,13
123,2002,NB,56
124,2002,NC,62
125,2002,ND,18
126,2002,NH,30
127,2002,NJ,570
128,2002,NM,15
129,2002,NV,62
130,2002,NY,693
131,2002,OH,265
132,2002,OK,44
133,2002,OR,61
134,2002,PA,96
135,2002,RI,38
136,2002,SC,71
137,2002,SD,4
138,2002,TN,130
139,2002,TX,343
140,2002,UT,54
141,2002,VA,291
142,2002,VT,18
143,2002,WA,173
144,2002,WI,34
145,2002,WV,42
146,2002,WY,5
147,2003,AK,13
148,2003,AL,1
149,2003,AR,173
150,2003,AZ,247
151,2003,CA,1472
152,2003,CO,86
153,2003,CT,147
154,2003,DC,32
155,2003,DE,20
156,2003,FL,231
157,2003,GA,23
158,2003,IA,38
159,2003,ID,20
160,2003,IL,208
161,2003,IN,65
162,2003,KS,49
163,2003,KY,81
164,2003,LA,6
165,2003,MA,401
166,2003,MD,248
167,2003,ME,77
168,2003,MI,416
169,2003,MN,215
170,2003,MO,55
171,2003,MS,1
172,2003,MT,5
173,2003,NB,44
174,2003,NC,77
175,2003,ND,10
176,2003,NH,32
177,2003,NJ,594
178,2003,NM,11
179,2003,NV,97
180,2003,NY,603
181,2003,OH,244
182,2003,OK,38
183,2003,OR,103
184,2003,PA,118
185,2003,RI,45
186,2003,SC,64
187,2003,SD,9
188,2003,TN,161
189,2003,TX,290
190,2003,UT,60
191,2003,VA,285
192,2003,VT,27
193,2003,WA,223
194,2003,WI,31
195,2003,WV,31
196,2003,WY,12
197,2004,AK,9
198,2004,AL,3
199,2004,AR,83
200,2004,AZ,225
201,2004,CA,1393
202,2004,CO,60
203,2004,CT,120
204,2004,DC,49
205,2004,DE,37
206,2004,FL,274
207,2004,GA,29
208,2004,IA,27
209,2004,ID,37
210,2004,IL,187
211,2004,IN,82
212,2004,KS,49
213,2004,KY,71
214,2004,LA,24
215,2004,MA,358
216,2004,MD,245
217,2004,ME,68
218,2004,MI,559
219,2004,MN,239
220,2004,MO,71
221,2004,MS,2
222,2004,MT,50
223,2004,NB,59
224,2004,NC,67
225,2004,ND,10
226,2004,NH,49
227,2004,NJ,769
228,2004,NM,22
229,2004,NV,81
230,2004,NY,386
231,2004,OH,354
232,2004,OK,51
233,2004,OR,155
234,2004,PA,99
235,2004,RI,29
236,2004,SC,102
237,2004,SD,7
238,2004,TN,136
239,2004,TX,297
240,2004,UT,60
241,2004,VA,310
242,2004,VT,28
243,2004,WA,175
244,2004,WI,38
245,2004,WV,45
246,2004,WY,4
247,2005,AK,4
248,2005,AR,135
249,2005,AZ,194
250,2005,CA,1380
251,2005,CO,125
252,2005,CT,103
253,2005,DC,49
254,2005,DE,49
255,2005,FL,231
256,2005,GA,17
257,2005,IA,31
258,2005,ID,28
259,2005,IL,168
260,2005,IN,54
261,2005,KS,73
262,2005,KY,46
263,2005,LA,17
264,2005,MA,374
265,2005,MD,195
266,2005,ME,57
267,2005,MI,607
268,2005,MN,206
269,2005,MO,78
270,2005,MT,65
271,2005,NB,71
272,2005,NC,89
273,2005,ND,12
274,2005,NH,33
275,2005,NJ,738
276,2005,NM,18
277,2005,NV,77
278,2005,NY,498
279,2005,OH,191
280,2005,OK,41
281,2005,OR,138
282,2005,PA,80
283,2005,RI,15
284,2005,SC,98
285,2005,SD,9
286,2005,TN,120
287,2005,TX,264
288,2005,UT,41
289,2005,VA,293
290,2005,VT,34
291,2005,WA,171
292,2005,WI,45
293,2005,WV,46
294,2005,WY,3
295,2006,AK,6
296,2006,AR,113
297,2006,AZ,169
298,2006,CA,1297
299,2006,CO,140
300,2006,CT,127
301,2006,DC,57
302,2006,DE,49
303,2006,FL,216
304,2006,GA,13
305,2006,GM,4
306,2006,IA,29
307,2006,ID,22
308,2006,IL,156
309,2006,IN,40
310,2006,KS,111
311,2006,KY,66
312,2006,LA,22
313,2006,MA,384
314,2006,MD,212
315,2006,ME,57
316,2006,MI,614
317,2006,MN,137
318,2006,MO,82
319,2006,MT,24
320,2006,NB,56
321,2006,NC,100
322,2006,ND,16
323,2006,NH,38
324,2006,NJ,760
325,2006,NM,20
326,2006,NV,125
327,2006,NY,522
328,2006,OH,305
329,2006,OK,51
330,2006,OR,144
331,2006,PA,86
332,2006,RI,19
333,2006,SC,82
334,2006,SD,88
335,2006,TN,206
336,2006,TX,243
337,2006,UT,37
338,2006,VA,341
339,2006,VT,27
340,2006,WA,177
341,2006,WI,85
342,2006,WV,35
343,2006,WY,5
344,2007,AK,8
345,2007,AL,7
346,2007,AR,33
347,2007,AZ,161
348,2007,CA,1400
349,2007,CO,158
350,2007,CT,144
351,2007,DC,41
352,2007,DE,49
353,2007,FL,166
354,2007,GA,13
355,2007,IA,28
356,2007,ID,38
357,2007,IL,167
358,2007,IN,41
359,2007,KS,111
360,2007,KY,48
361,2007,LA,31
362,2007,MA,353
363,2007,MD,151
364,2007,ME,72
365,2007,MI,635
366,2007,MN,157
367,2007,MO,114
368,2007,MT,21
369,2007,NB,45
370,2007,NC,75
371,2007,ND,14
372,2007,NH,48
373,2007,NJ,748
374,2007,NM,14
375,2007,NV,63
376,2007,NY,498
377,2007,OH,306
378,2007,OK,30
379,2007,OR,169
380,2007,PA,78
381,2007,RI,49
382,2007,SC,117
383,2007,SD,37
384,2007,TN,239
385,2007,TX,242
386,2007,UT,57
387,2007,VA,296
388,2007,VT,21
389,2007,WA,196
390,2007,WI,69
391,2007,WV,44
392,2007,WY,21
393,2008,AK,8
394,2008,AL,11
395,2008,AR,92
396,2008,AZ,185
397,2008,CA,1382
398,2008,CO,164
399,2008,CT,179
400,2008,DC,42
401,2008,DE,62
402,2008,FL,153
403,2008,GA,12
404,2008,IA,33
405,2008,ID,30
406,2008,IL,120
407,2008,IN,61
408,2008,KS,115
409,2008,KY,79
410,2008,LA,67
411,2008,MA,336
412,2008,MD,100
413,2008,ME,63
414,2008,MI,577
415,2008,MN,164
416,2008,MO,99
417,2008,MS,4
418,2008,MT,28
419,2008,NB,100
420,2008,NC,124
421,2008,ND,16
422,2008,NH,45
423,2008,NJ,744
424,2008,NM,9
425,2008,NV,94
426,2008,NY,605
427,2008,OH,355
428,2008,OK,54
429,2008,OR,191
430,2008,PA,70
431,2008,RI,35
432,2008,SC,154
433,2008,SD,44
434,2008,TN,270
435,2008,TX,247
436,2008,UT,40
437,2008,VA,267
438,2008,VT,22
439,2008,WA,240
440,2008,WI,95
441,2008,WV,46
442,2008,WY,6
443,2009,AK,9
444,2009,AL,9
445,2009,AR,75
446,2009,AZ,219
447,2009,CA,1018
448,2009,CO,208
449,2009,CT,200
450,2009,DC,37
451,2009,DE,37
452,2009,FL,130
453,2009,GA,11
454,2009,IA,17
455,2009,ID,35
456,2009,IL,129
457,2009,IN,55
458,2009,KS,122
459,2009,KY,153
460,2009,LA,13
461,2009,MA,317
462,2009,MD,102
463,2009,ME,50
464,2009,MI,315
465,2009,MN,153
466,2009,MO,125
467,2009,MS,2
468,2009,MT,28
469,2009,NB,78
470,2009,NC,103
471,2009,ND,14
472,2009,NH,25
473,2009,NJ,549
474,2009,NM,15
475,2009,NV,48
476,2009,NY,641
477,2009,OH,303
478,2009,OK,60
479,2009,OR,131
480,2009,PA,36
481,2009,RI,35
482,2009,SC,109
483,2009,SD,42
484,2009,TN,171
485,2009,TX,165
486,2009,UT,49
487,2009,VA,150
488,2009,VT,24
489,2009,WA,208
490,2009,WI,54
491,2009,WV,25
492,2009,WY,8
493,2010,AK,7
494,2010,AL,19
495,2010,AR,63
496,2010,AZ,236
497,2010,CA,1092
498,2010,CO,154
499,2010,CT,147
500,2010,DC,57
501,2010,DE,20
502,2010,FL,136
503,2010,GA,17
504,2010,IA,17
505,2010,ID,28
506,2010,IL,94
507,2010,IN,94
