State,Year,UV_Irradiance
AL,1995,3475
AL,1996,3530
AL,1997,3571
AL,1998,3478
AL,1999,3519
AL,2000,3520
AL,2001,3512
AL,2002,3585
AL,2003,3441
AL,2004,3487
AL,2005,2940
AL,2006,3100
AL,2007,3074
AL,2008,3142
AL,2009,3054
AL,2010,3160
AL,2011,3572
AL,2012,3456
AL,2013,3408
AL,2014,3739
AL,2015,3677
AL,2016,3952
AL,2017,3907
AL,2018,3818
AL,2019,4023
AL,2020,4092
AK,1995,1339
AK,1996,1403
AK,1997,1410
AK,1998,1315
AK,1999,1381
AK,2000,1385
AK,2001,1349
AK,2002,1394
AK,2003,1347
AK,2004,1746
AK,2005,1476
AK,2006,1360
AK,2007,1400
AK,2008,1366
AK,2009,1558
AK,2010,1416
AK,2011,1515
AK,2012,1465
AK,2013,1560
AK,2014,1627
AK,2015,1722
AK,2016,1848
AK,2017,1786
AK,2018,1866
AK,2019,1996
AK,2020,1957
AZ,1995,3688
AZ,1996,3743
AZ,1997,3788
AZ,1998,3650
AZ,1999,3718
AZ,2000,3753
AZ,2001,3688
AZ,2002,3754
AZ,2003,3634
AZ,2004,3670
AZ,2005,3603
AZ,2006,3569
AZ,2007,3576
AZ,2008,3716
AZ,2009,3679
AZ,2010,3550
AZ,2011,4049
AZ,2012,4191
AZ,2013,4161
AZ,2014,4174
AZ,2015,4202
AZ,2016,4428
AZ,2017,4451
AZ,2018,4277
AZ,2019,4457
AZ,2020,4931
AR,1995,3276
AR,1996,3318
AR,1997,3354
AR,1998,3264
AR,1999,3342
AR,2000,3340
AR,2001,3278
AR,2002,3347
AR,2003,3223
AR,2004,3257
AR,2005,2864
AR,2006,2876
AR,2007,2816
AR,2008,2852
AR,2009,2858
AR,2010,2915
AR,2011,3322
AR,2012,3433
AR,2013,3276
AR,2014,3363
AR,2015,3469
AR,2016,3680
AR,2017,3816
AR,2018,3729
AR,2019,3686
AR,2020,4103
CA,1995,3145
CA,1996,3171
CA,1997,3207
CA,1998,2966
CA,1999,3085
CA,2000,3160
CA,2001,3119
CA,2002,3084
CA,2003,3065
CA,2004,3115
CA,2005,3058
CA,2006,3057
CA,2007,3226
CA,2008,3257
CA,2009,3208
CA,2010,2955
CA,2011,3367
CA,2012,3600
CA,2013,3776
CA,2014,3852
CA,2015,3899
CA,2016,4131
CA,2017,4047
CA,2018,3969
CA,2019,4076
CA,2020,4541
CO,1995,3299
CO,1996,3360
CO,1997,3393
CO,1998,3253
CO,1999,3318
CO,2000,3390
CO,2001,3302
CO,2002,3310
CO,2003,3242
CO,2004,3320
CO,2005,3426
CO,2006,3453
CO,2007,3413
CO,2008,3459
CO,2009,3352
CO,2010,3241
CO,2011,3508
CO,2012,3662
CO,2013,3457
CO,2014,3635
CO,2015,3775
CO,2016,4190
CO,2017,4180
CO,2018,4203
CO,2019,4305
CO,2020,4474
CT,1995,2583
CT,1996,2592
CT,1997,2586
CT,1998,2467
CT,1999,2586
CT,2000,2579
CT,2001,2529
CT,2002,2580
CT,2003,2547
CT,2004,2606
CT,2005,2088
CT,2006,2026
CT,2007,2211
CT,2008,2184
CT,2009,2111
CT,2010,2174
CT,2011,2369
CT,2012,2374
CT,2013,2491
CT,2014,2557
CT,2015,2658
CT,2016,3093
CT,2017,2693
CT,2018,2770
CT,2019,2945
CT,2020,3100
DE,1995,2814
DE,1996,2833
DE,1997,2831
DE,1998,2702
DE,1999,2809
DE,2000,2811
DE,2001,2765
DE,2002,2838
DE,2003,2765
DE,2004,2822
DE,2005,2291
DE,2006,2348
DE,2007,2431
DE,2008,2433
DE,2009,2331
DE,2010,2375
DE,2011,2630
DE,2012,2678
DE,2013,2534
DE,2014,2520
DE,2015,2863
DE,2016,3148
DE,2017,3767
DE,2018,3062
DE,2019,3248
DE,2020,3512
DC,1995,2860
DC,1996,2868
DC,1997,2871
DC,1998,2747
DC,1999,2851
DC,2000,2851
DC,2001,2809
DC,2002,2878
DC,2003,2792
DC,2004,2868
DC,2005,2314
DC,2006,2323
DC,2007,2404
DC,2008,2425
DC,2009,2335
DC,2010,2343
DC,2011,2564
DC,2012,2857
DC,2013,2577
DC,2014,2837
DC,2015,3177
DC,2016,3442
DC,2017,3359
DC,2018,3158
DC,2019,3546
DC,2020,3581
FL,1995,3884
FL,1996,3978
FL,1997,4064
FL,1998,3940
FL,1999,3958
FL,2000,3901
FL,2001,3949
FL,2002,4075
FL,2003,3904
FL,2004,3974
FL,2005,3395
FL,2006,3578
FL,2007,3457
FL,2008,3556
FL,2009,3617
FL,2010,3636
FL,2011,3970
FL,2012,3890
FL,2013,4001
FL,2014,4057
FL,2015,4079
FL,2016,4258
FL,2017,4321
FL,2018,4212
