State,Year,PM10,PM2.5,NO2,SO2,UV_Irradiance,Population,Violent_crime,Property_crime,Total_crime,Violent_crime_per_100K,Property_crime_per_100K,Total_crime_per_100K
AK,2000,,13.7,,,1385,626932.0,3554.0,23087.0,26641.0,566.89,3682.54,4249.4241799748615
AK,2001,,15.666666666666666,,,1349,634892.0,3735.0,23160.0,26895.0,588.29,3647.86,4236.153550525129
AK,2002,,14.633333333333333,,,1394,643786.0,3627.0,24118.0,27745.0,563.39,3746.28,4309.661906285629
AK,2003,,14.766666666666666,,,1347,648818.0,3850.0,24280.0,28130.0,593.39,3742.19,4335.576386598399
AK,2004,,17.733333333333334,,,1746,657755.0,4159.0,22172.0,26331.0,632.0,3371.0,4003.1622716665024
AK,2005,,16.75,,,1476,663661.0,4194.0,23975.0,28169.0,632.0,3613.0,4244.486266331757
AK,2006,,20.216666666666665,,,1360,670053.0,4610.0,24155.0,28765.0,688.0,3604.9,4292.943990997727
AK,2007,,15.166666666666666,,,1400,683478.0,4519.0,23098.0,27617.0,661.2,3379.5,4040.656758520391
AK,2008,,16.150000000000002,,,1366,688125.0,4479.0,20097.0,24576.0,650.9,2920.5,3571.4441416893737
AK,2009,,18.0,,,1558,698473.0,4421.0,20577.0,24998.0,633.0,2946.0,3578.950081105497
AK,2010,,18.566666666666663,,,1416,714146.0,4537.0,20259.0,24796.0,635.3,2836.8,3472.1191465050565
AK,2011,,15.283333333333331,,,1515,722718.0,4383.0,19028.0,23411.0,606.5,2632.8,3239.299422457999
AK,2012,,17.466666666666665,,,1465,730307.0,4412.0,20037.0,24449.0,604.1,2743.6,3347.770184319745
AK,2013,,14.016666666666666,,,1560,735132.0,4430.0,21210.0,25640.0,602.6,2885.2,3487.808992126584
AK,2014,,17.95,,,1627,737046.0,4684.0,20334.0,25018.0,635.5,2758.9,3394.360731894617
AK,2015,,16.099999999999998,,,1722,738432.0,5392.0,20806.0,26198.0,730.2,2817.6,3547.787744843127
AK,2016,,14.7,,,1848,741522.0,5966.0,24876.0,30842.0,804.6,3354.7,4159.283204004736
AK,2017,,15.800000000000002,,,1786,739795.0,6133.0,26204.0,32337.0,829.0,3542.1,4371.075770990612
AK,2018,,12.483333333333334,,,1866,735139.0,6555.0,24345.0,30900.0,891.7,3311.6,4203.286725367584
AK,2019,,19.433333333333334,,,1996,731545.0,6343.0,21294.0,27637.0,867.1,2910.8,3777.894729647527
AL,2000,91.15555555555557,30.35666666666667,,149.0,3520,4447100.0,21620.0,180539.0,202159.0,486.16,4059.7,4545.861347844663
AL,2001,58.6,25.28,,63.0,3512,4464356.0,19582.0,173253.0,192835.0,438.63,3880.81,4319.435994799698
AL,2002,41.71111111111111,24.146666666666665,,50.0,3585,4486508.0,19931.0,180400.0,200331.0,444.24,4020.94,4465.187624762956
AL,2003,48.44444444444444,23.596666666666668,,53.0,3441,4500752.0,19331.0,182241.0,201572.0,429.51,4049.12,4478.629349051003
AL,2004,46.37777777777777,24.85333333333333,,56.0,3487,4525375.0,19324.0,182340.0,201664.0,427.0,4029.0,4456.293677319559
AL,2005,46.17777777777778,27.28333333333333,,70.0,2940,4557808.0,19678.0,177393.0,197071.0,432.0,3892.0,4323.810919635053
AL,2006,39.77777777777778,24.39,,70.0,3100,4599030.0,19557.0,181021.0,200578.0,425.2,3936.1,4361.31097209629
AL,2007,50.0,27.4,,50.0,3074,4627851.0,20732.0,183798.0,204530.0,448.0,3971.6,4419.54591882928
AL,2008,39.22222222222222,20.813333333333333,,69.0,3142,4677464.0,21109.0,190292.0,211401.0,451.3,4068.3,4519.564447743478
AL,2009,32.15555555555555,16.776666666666667,,41.0,3054,4708708.0,21179.0,177629.0,198808.0,449.8,3772.4,4222.134819147843
AL,2010,52.11111111111112,18.41333333333333,,33.0,3160,4785401.0,18363.0,168828.0,187191.0,383.7,3528.0,3911.7098023760186
AL,2011,47.28888888888889,18.46,,31.0,3572,4802740.0,20174.0,173190.0,193364.0,420.1,3606.1,4026.1184240662624
AL,2012,36.06666666666667,15.23,,36.0,3456,4817528.0,21693.0,168878.0,190571.0,450.3,3505.5,3955.7839622312526
AL,2013,30.666666666666668,14.293333333333331,,22.0,3408,4833722.0,20210.0,161993.0,182203.0,418.1,3351.3,3769.414128491461
AL,2014,31.4,15.393333333333334,,17.0,3739,4846411.0,20727.0,154087.0,174814.0,427.7,3179.4,3607.08161152655
AL,2015,59.266666666666666,14.166666666666666,,17.0,3677,4858979.0,22952.0,144746.0,167698.0,472.4,2978.9,3451.3011889946424
AL,2016,35.888888888888886,11.886666666666668,,11.0,3952,4860545.0,25878.0,143259.0,169137.0,532.4,2947.4,3479.794961264632
AL,2017,26.822222222222223,13.683333333333334,,12.0,3907,4874747.0,25551.0,144160.0,169711.0,524.2,2957.3,3481.4319594432286
AL,2018,29.377777777777776,12.856666666666666,,11.0,3818,4887681.0,25567.0,138702.0,164269.0,523.1,2837.8,3360.8780933125545
AL,2019,28.155555555555555,12.426666666666668,,10.0,4023,4903185.0,25046.0,131133.0,156179.0,510.8,2674.4,3185.256114138055
AR,2000,,24.75,,,3340,2673400.0,11904.0,98115.0,110019.0,445.28,3670.05,4115.321313682951
AR,2001,,23.35,,,3278,2692090.0,12190.0,99106.0,111296.0,452.81,3681.38,4134.185707015738
AR,2002,,22.6,,,3347,2710079.0,11501.0,101171.0,112672.0,424.38,3733.14,4157.517179388497
AR,2003,,19.45,,,3223,2725714.0,12431.0,98710.0,111141.0,456.06,3621.44,4077.5004274109465
AR,2004,,20.1,,,3257,2750000.0,13814.0,110911.0,124725.0,502.0,4033.0,4535.454545454545
AR,2005,,26.850000000000005,,,2864,2779154.0,14659.0,112775.0,127434.0,528.0,4058.0,4585.352233089638
AR,2006,,19.1,,,2876,2810872.0,15506.0,111521.0,127027.0,551.6,3967.5,4519.131429677339
