State,Year,UV_Irradiance,Median_age_years,Percent_Male,Percent_White,Percent_BA_or_higher,Percent_unemployed,Per_capita_income_dollars,Population,Violent_crime,Murder,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Hate_crime,NO2,PM10,PM25,SO2,Region,Violent_crime_per_100K,Property_crime_per_100K,Hate_crime_per_100K
AL,2000,3520,36.0,47.9,71.65,20.0,6.4,40778.0,4447100.0,21620.0,329.0,1482.0,5702.0,14107.0,180539.0,40331.0,127399.0,12809.0,0.0,,123.8,14.5,149.0,South,486.159519686987,4059.701828157676,0.0
AL,2001,3512,36.2,48.16,71.33,19.4,7.6,18368.0,4464356.0,19582.0,379.0,1369.0,5584.0,12250.0,173253.0,40642.0,119992.0,12619.0,0.0,,99.0,10.6,63.0,South,438.62989421094557,3880.8061005887525,0.0
AL,2002,3585,36.4,48.22,71.04,20.6,7.7,18938.0,4486508.0,19931.0,303.0,1664.0,5962.0,12002.0,180400.0,42578.0,123932.0,13890.0,2.0,,94.3,10.4,50.0,South,444.24305049717947,4020.9445742657763,0.0445780994929687
AL,2003,3441,36.9,48.05,71.11,21.2,8.7,19003.0,4500752.0,19331.0,299.0,1656.0,6038.0,11338.0,182241.0,43245.0,124039.0,14957.0,1.0,,106.3,12.2,53.0,South,429.5060025524623,4049.1233464985407,0.02221850926245214
AL,2004,3487,37.0,48.07,71.07,21.9,7.1,20476.0,4525375.0,19324.0,254.0,1742.0,6042.0,11286.0,182340.0,44666.0,123650.0,14024.0,3.0,,101.8,11.4,56.0,South,427.0143358285225,4029.279341491036,0.06629284865895091
AL,2005,2940,37.4,48.24,70.99,21.4,7.2,21168.0,4557808.0,19678.0,374.0,1564.0,6447.0,11293.0,177393.0,43473.0,120780.0,13140.0,0.0,,91.5,11.7,70.0,South,431.7426271576161,3892.0682924774364,0.0
AL,2006,3100,37.2,48.5,70.41,21.1,6.9,21270.0,4599030.0,19557.0,382.0,1649.0,7059.0,10467.0,181021.0,44571.0,121610.0,14840.0,0.0,,91.3,11.2,70.0,South,425.2418444759004,3936.0691276203897,0.0
AL,2007,3074,37.3,48.4,71.2,21.4,4.0,22366.0,4627851.0,20732.0,412.0,1545.0,7398.0,11377.0,183798.0,45331.0,124237.0,14230.0,7.0,,114.3,10.4,50.0,South,447.98330801920804,3971.5626108100714,0.1512581109460957
AL,2008,3142,37.4,48.5,70.3,22.0,4.2,23336.0,4677464.0,21109.0,357.0,1618.0,7344.0,11790.0,190292.0,50379.0,126461.0,13452.0,11.0,,83.8,9.9,69.0,South,451.29155456888606,4068.2728931745914,0.23517016913438565
AL,2009,3054,37.4,48.4,70.0,22.0,6.7,22349.0,4708708.0,21179.0,323.0,1504.0,6259.0,13093.0,177629.0,48837.0,117711.0,11081.0,9.0,,67.5,10.1,41.0,South,449.78367739091055,3772.351141756932,0.19113523284943557
AL,2010,3160,37.8,48.5,69.47,21.9,7.0,21993.0,4785401.0,18363.0,275.0,1355.0,4864.0,11869.0,168828.0,42484.0,115564.0,10780.0,19.0,,71.5,10.2,33.0,South,383.7295975823134,3527.980204793705,0.3970409167382211
AL,2011,3572,38.1,48.4,69.09,22.3,6.8,22711.0,4802740.0,20174.0,301.0,1371.0,4910.0,13592.0,173190.0,51117.0,111411.0,10662.0,83.0,,57.8,10.0,31.0,South,420.0518870478102,3606.066537018452,1.7281801638231509
AL,2012,3456,38.2,48.5,69.13,23.3,5.8,22815.0,4817528.0,21693.0,342.0,1296.0,5020.0,15035.0,168878.0,47481.0,111523.0,9874.0,6.0,,49.4,9.2,36.0,South,450.2931794065338,3505.4907828247183,0.12454520243577205
AL,2013,3408,38.3,48.4,68.9,23.5,5.6,23384.0,4833722.0,20210.0,347.0,1428.0,4648.0,13787.0,161993.0,42429.0,108993.0,10571.0,6.0,,46.0,8.4,22.0,South,418.1043096810284,3351.309818810432,0.12412794943523851
AL,2014,3739,38.6,48.4,68.47,23.5,4.9,23606.0,4846411.0,20727.0,276.0,3430.0,4702.0,13744.0,154087.0,39723.0,104223.0,10141.0,9.0,,73.0,8.9,17.0,South,427.67730594867004,3179.4043055778798,0.18570443158865393
AL,2015,3677,38.7,48.4,68.53,24.2,4.1,24769.0,4858979.0,22952.0,348.0,3495.0,4611.0,15954.0,144746.0,35255.0,99156.0,10335.0,10.0,,61.5,8.6,17.0,South,472.3626095111751,2978.938579483468,0.20580455276715542
AL,2016,3952,39.0,48.4,68.19,24.7,3.6,25810.0,4860545.0,25878.0,407.0,1915.0,4687.0,18869.0,143259.0,34045.0,97498.0,11716.0,14.0,,47.5,7.2,11.0,South,532.4094314526458,2947.3855298119865,0.28803354356353045
AL,2017,3907,38.9,48.4,67.96,25.5,3.3,26498.0,4874747.0,25551.0,404.0,2028.0,4217.0,18902.0,144160.0,31477.0,99842.0,12841.0,14.0,,43.3,7.4,12.0,South,524.1502789785808,2957.2816804646477,0.2871943918320274
AL,2018,3818,39.3,48.5,67.65,25.5,3.2,27525.0,4887681.0,25567.0,383.0,2032.0,4047.0,19105.0,138702.0,29101.0,96328.0,13273.0,1.0,,47.0,7.1,11.0,South,523.090602680494,2837.787490632061,0.020459600370809797
AL,2019,4023,39.4,48.3,67.84,26.3,2.8,28650.0,4903185.0,25046.0,358.0,2068.0,3941.0,18679.0,131133.0,26079.0,92477.0,12577.0,2.0,,58.0,7.5,10.0,South,510.81083010328996,2674.445284034765,0.040789813152063405
AK,2000,1385,32.6,51.14,70.65,26.0,7.8,59060.0,626932.0,3554.0,27.0,497.0,490.0,2540.0,23087.0,3899.0,16838.0,2350.0,4.0,,,5.8,,West,566.8876369367013,3682.5365430381603,0.6380277286850886
AK,2001,1349,32.6,51.19,69.37,25.8,6.9,24327.0,634892.0,3735.0,39.0,501.0,514.0,2681.0,23160.0,3847.0,16695.0,2618.0,20.0,,,6.2,,West,588.2890318353358,3647.864518689793,3.15014207140742
AK,2002,1394,34.2,51.12,69.25,28.0,9.6,24830.0,643786.0,3627.0,33.0,511.0,489.0,2594.0,24118.0,3908.0,17739.0,2471.0,7.0,,,5.8,,West,563.385969871976,3746.275936413653,1.0873178354297857
AK,2003,1347,33.2,51.09,69.55,26.6,10.8,24361.0,648818.0,3850.0,39.0,600.0,444.0,2767.0,24280.0,3855.0,17977.0,2448.0,13.0,,,6.6,,West,593.3867432777758,3742.1896433206234,2.0036435487301523
AK,2004,1746,33.4,50.8,68.97,27.2,9.4,25466.0,657755.0,4159.0,37.0,558.0,447.0,3117.0,22172.0,3773.0,16159.0,2240.0,9.0,,,6.9,,West,632.3023010087343,3370.859970657768,1.368290624928735
AK,2005,1476,33.9,50.75,69.17,27.3,8.6,26310.0,663661.0,4194.0,32.0,538.0,537.0,3087.0,23975.0,4131.0,17249.0,2595.0,4.0,,,6.7,,West,631.9491427099076,3612.5371236218493,0.602717351177785
AK,2006,1360,33.5,51.45,68.68,26.9,9.4,26919.0,670053.0,4610.0,36.0,509.0,605.0,3460.0,24155.0,4136.0,17490.0,2529.0,6.0,,,6.9,,West,688.0052771944905,3604.9387138032366,0.8954515538323089
AK,2007,1400,33.3,52.3,73.1,26.0,6.0,28891.0,683478.0,4519.0,44.0,529.0,583.0,3363.0,23098.0,3682.0,16998.0,2418.0,8.0,,,5.2,,West,661.1770971413857,3379.479661379006,1.1704839073093793
AK,2008,1366,33.0,52.1,69.1,27.3,5.4,31175.0,688125.0,4479.0,27.0,445.0,644.0,3363.0,20097.0,3232.0,15235.0,1630.0,8.0,,,5.9,,West,650.899182561308,2920.5449591280653,1.1625794732061763
AK,2009,1558,32.6,51.6,68.3,26.6,6.5,29504.0,698473.0,4421.0,22.0,512.0,655.0,3232.0,20577.0,3597.0,15291.0,1689.0,9.0,,,7.0,,West,632.9521685161774,2945.9979125893196,1.2885251112068756
AK,2010,1416,33.8,52.2,67.43,27.9,6.6,30598.0,714146.0,4537.0,31.0,533.0,594.0,3379.0,20259.0,3105.0,15535.0,1619.0,7.0,,,6.8,,West,635.3042655143346,2836.8148809907216,0.9801917255015081
AK,2011,1515,33.9,51.6,66.79,26.4,6.0,31405.0,722718.0,4383.0,29.0,420.0,576.0,3358.0,19028.0,2826.0,14859.0,1343.0,8.0,,,5.8,,West,606.4606111927473,2632.8388112652515,1.106932441145786
AK,2012,1465,33.8,52.1,66.52,28.0,5.3,31890.0,730307.0,4412.0,30.0,583.0,630.0,3169.0,20037.0,2950.0,15565.0,1522.0,6.0,,,6.2,,West,604.1294962255599,2743.6406880941854,0.821572297677552
AK,2013,1560,33.1,52.6,66.35,28.0,6.0,32474.0,735132.0,4430.0,34.0,644.0,624.0,3128.0,21210.0,2916.0,16599.0,1695.0,8.0,,,5.6,,West,602.6128640842734,2885.1961280423106,1.0882399351409
AK,2014,1627,33.3,52.3,65.64,28.0,5.1,33062.0,737046.0,4684.0,41.0,1324.0,629.0,3243.0,20334.0,3150.0,15445.0,1739.0,6.0,,,7.0,,West,635.5098596288426,2758.8508722657743,0.8140604521291751
